code,region_name,count
110100,北京市,107
120100,天津市,55
130100,石家庄市,20
130200,唐山市,11
130300,秦皇岛市,3
130400,邯郸市,9
130500,邢台市,5
130600,保定市,15
130700,张家口市,5
130800,承德市,3
130900,沧州市,12
131000,廊坊市,12
131100,衡水市,0
140100,太原市,19
140200,大同市,3
140300,阳泉市,0
140400,长治市,2
140500,晋城市,1
140600,朔州市,1
140700,晋中市,4
140800,运城市,3
140900,忻州市,0
141000,临汾市,2
141100,吕梁市,2
150100,呼和浩特市,10
150200,包头市,5
150300,乌海市,1
150400,赤峰市,5
150500,通辽市,5
150600,鄂尔多斯市,5
150700,呼伦贝尔市,2
150800,巴彦淖尔市,2
150900,乌兰察布市,0
152200,兴安盟,1
152500,锡林郭勒盟,1
152900,阿拉善盟,0
210100,沈阳市,36
210200,大连市,21
210300,鞍山市,4
210400,抚顺市,2
210500,本溪市,1
210600,丹东市,1
210700,锦州市,1
210800,营口市,2
210900,阜新市,1
211000,辽阳市,3
211100,盘锦市,4
211200,铁岭市,1
211300,朝阳市,0
211400,葫芦岛市,1
220100,长春市,20
220200,吉林市,4
220300,四平市,0
220400,辽源市,1
220500,通化市,0
220600,白山市,0
220700,松原市,1
220800,白城市,0
222400,延边朝鲜族自治州,5
230100,哈尔滨市,35
230200,齐齐哈尔市,3
230300,鸡西市,1
230400,鹤岗市,1
230500,双鸭山市,2
230600,大庆市,2
230700,伊春市,0
230800,佳木斯市,1
230900,七台河市,1
231000,牡丹江市,1
231100,黑河市,1
231200,绥化市,4
232700,大兴安岭地区,0
310100,上海市,151
320100,南京市,65
320200,无锡市,25
320300,徐州市,15
320400,常州市,21
320500,苏州市,46
320600,南通市,17
320700,连云港市,15
320800,淮安市,11
320900,盐城市,10
321000,扬州市,11
321100,镇江市,8
321200,泰州市,11
321300,宿迁市,11
330100,杭州市,53
330200,宁波市,28
330300,温州市,20
330400,嘉兴市,16
330500,湖州市,13
330600,绍兴市,21
330700,金华市,14
330800,衢州市,3
330900,舟山市,2
331000,台州市,17
331100,丽水市,9
340100,合肥市,39
340200,芜湖市,10
340300,蚌埠市,8
340400,淮南市,7
340500,马鞍山市,3
340600,淮北市,3
340700,铜陵市,5
340800,安庆市,4
341000,黄山市,2
341100,滁州市,3
341200,阜阳市,15
341300,宿州市,5
341500,六安市,7
341600,亳州市,2
341700,池州市,0
341800,宣城市,3
350100,福州市,21
350200,厦门市,22
350300,莆田市,6
350400,三明市,3
350500,泉州市,11
350600,漳州市,8
350700,南平市,3
350800,龙岩市,3
350900,宁德市,5
360100,南昌市,22
360200,景德镇市,2
360300,萍乡市,2
360400,九江市,11
360500,新余市,1
360600,鹰潭市,2
360700,赣州市,13
360800,吉安市,5
360900,宜春市,5
361000,抚州市,2
361100,上饶市,10
370100,济南市,29
370200,青岛市,30
370300,淄博市,8
370400,枣庄市,6
370500,东营市,2
370600,烟台市,17
370700,潍坊市,20
370800,济宁市,7
370900,泰安市,5
371000,威海市,9
371100,日照市,2
371300,临沂市,10
371400,德州市,6
371500,聊城市,5
371600,滨州市,2
371700,菏泽市,7
410100,郑州市,33
410200,开封市,1
410300,洛阳市,6
410400,平顶山市,3
410500,安阳市,9
410600,鹤壁市,2
410700,新乡市,4
410800,焦作市,2
410900,濮阳市,3
411000,许昌市,5
411100,漯河市,4
411200,三门峡市,1
411300,南阳市,9
411400,商丘市,2
411500,信阳市,4
411600,周口市,7
411700,驻马店市,3
420100,武汉市,74
420200,黄石市,9
420300,十堰市,1
420500,宜昌市,11
420600,襄阳市,11
420700,鄂州市,3
420800,荆门市,3
420900,孝感市,4
421000,荆州市,8
421100,黄冈市,6
421200,咸宁市,4
421300,随州市,2
422800,恩施土家族苗族自治州,4
430100,长沙市,83
430200,株洲市,11
430300,湘潭市,3
430400,衡阳市,16
430500,邵阳市,9
430600,岳阳市,9
430700,常德市,8
430800,张家界市,2
430900,益阳市,4
431000,郴州市,4
431100,永州市,2
431200,怀化市,4
431300,娄底市,16
433100,湘西土家族苗族自治州,2
440100,广州市,122
440200,韶关市,7
440300,深圳市,72
440400,珠海市,20
440500,汕头市,13
440600,佛山市,59
440700,江门市,14
440800,湛江市,10
440900,茂名市,7
441200,肇庆市,11
441300,惠州市,15
441400,梅州市,3
441500,汕尾市,5
441600,河源市,2
441700,阳江市,4
441800,清远市,11
441900,东莞市,40
442000,中山市,13
445100,潮州市,5
445200,揭阳市,8
445300,云浮市,1
450100,南宁市,18
450200,柳州市,6
450300,桂林市,4
450400,梧州市,4
450500,北海市,1
450600,防城港市,1
450700,钦州市,4
450800,贵港市,1
450900,玉林市,1
451000,百色市,3
451100,贺州市,4
451200,河池市,2
451300,来宾市,2
451400,崇左市,0
460100,海口市,14
460200,三亚市,10
460300,三沙市,0
460400,儋州市,2
500100,重庆城区,49
500200,重庆郊县,1
510100,成都市,68
510300,自贡市,3
510400,攀枝花市,1
510500,泸州市,6
510600,德阳市,3
510700,绵阳市,5
510800,广元市,2
510900,遂宁市,3
511000,内江市,4
511100,乐山市,5
511300,南充市,5
511400,眉山市,3
511500,宜宾市,5
511600,广安市,2
511700,达州市,4
511800,雅安市,1
511900,巴中市,1
512000,资阳市,2
513200,阿坝藏族羌族自治州,0
513300,甘孜藏族自治州,0
513400,凉山彝族自治州,0
520100,贵阳市,20
520200,六盘水市,4
520300,遵义市,5
520400,安顺市,3
520500,毕节市,0
520600,铜仁市,2
522300,黔西南布依族苗族自治州,0
522600,黔东南苗族侗族自治州,2
522700,黔南布依族苗族自治州,1
530100,昆明市,30
530300,曲靖市,2
530400,玉溪市,1
530500,保山市,1
530600,昭通市,0
530700,丽江市,0
530800,普洱市,1
530900,临沧市,1
532300,楚雄彝族自治州,1
532500,红河哈尼族彝族自治州,1
532600,文山壮族苗族自治州,0
532800,西双版纳傣族自治州,2
532900,大理白族自治州,3
533100,德宏傣族景颇族自治州,0
533300,怒江傈僳族自治州,0
533400,迪庆藏族自治州,0
540100,拉萨市,1
540200,日喀则市,0
540300,昌都市,0
540400,林芝市,0
540500,山南市,0
540600,那曲市,0
542500,阿里地区,0
610100,西安市,43
610200,铜川市,0
610300,宝鸡市,4
610400,咸阳市,7
610500,渭南市,4
610600,延安市,0
610700,汉中市,2
610800,榆林市,3
610900,安康市,0
611000,商洛市,1
620100,兰州市,9
620200,嘉峪关市,1
620300,金昌市,0
620400,白银市,0
620500,天水市,1
620600,武威市,1
620700,张掖市,0
620800,平凉市,0
620900,酒泉市,0
621000,庆阳市,1
621100,定西市,0
621200,陇南市,0
622900,临夏回族自治州,0
623000,甘南藏族自治州,0
630100,西宁市,7
630200,海东市,0
632200,海北藏族自治州,0
632300,黄南藏族自治州,0
632500,海南藏族自治州,0
632600,果洛藏族自治州,0
632700,玉树藏族自治州,0
632800,海西蒙古族藏族自治州,0
640100,银川市,8
640200,石嘴山市,0
640300,吴忠市,0
640400,固原市,0
640500,中卫市,0
650100,乌鲁木齐市,14
650200,克拉玛依市,2
650400,吐鲁番市,0
650500,哈密市,1
652300,昌吉回族自治州,1
652700,博尔塔拉蒙古自治州,0
652800,巴音郭楞蒙古自治州,0
652900,阿克苏地区,0
653000,克孜勒苏柯尔克孜自治州,0
653100,喀什地区,1
653200,和田地区,0
654000,伊犁哈萨克自治州,2
654200,塔城地区,0
654300,阿勒泰地区,0
710100,台北市,25
710200,高雄市,27
710300,台南市,0
710400,台中市,9
710600,南投县,0
710700,基隆市,0
710800,新竹市,6
710900,嘉义市,4
711100,新北市,13
711200,宜兰县,0
711300,新竹县,0
711400,桃园市,7
711500,苗栗县,0
711700,彰化县,0
711900,嘉义县,0
712100,云林县,0
712400,屏东县,0
712500,台东县,0
712600,花莲县,0
712700,澎湖县,0
810000,香港特别行政区,96
820000,澳门特别行政区,16
